lag_seconds,r,p_value,n
-86400,-0.20974541030641572,0.0,51610
-85500,-0.20975910027065295,0.0,51613
-84600,-0.2097446137501059,0.0,51616
-83700,-0.20969148088861697,0.0,51619
-82800,-0.20962474382760415,0.0,51622
-81900,-0.2096051017043036,0.0,51625
-81000,-0.20961399024930374,0.0,51628
-80100,-0.20963334518583035,0.0,51631
-79200,-0.20960113345150794,0.0,51634
-78300,-0.2095539475702116,0.0,51637
-77400,-0.20957669955679423,0.0,51640
-76500,-0.20961220372342507,0.0,51643
-75600,-0.20964745225658862,0.0,51646
-74700,-0.20971513324921867,0.0,51649
-73800,-0.2097671603174788,0.0,51652
-72900,-0.209765016698842,0.0,51655
-72000,-0.2097797836103488,0.0,51658
-71100,-0.20977401886029395,0.0,51661
-70200,-0.20974771999306388,0.0,51664
-69300,-0.20969481616864058,0.0,51667
-68400,-0.20967536555357028,0.0,51670
-67500,-0.20969854113745567,0.0,51673
-66600,-0.20974722182079442,0.0,51676
-65700,-0.20981425805023796,0.0,51679
-64800,-0.2098230598536695,0.0,51682
-63900,-0.2097870971683575,0.0,51685
-63000,-0.2097798132314348,0.0,51688
-62100,-0.20980498172229148,0.0,51691
-61200,-0.20983947616575802,0.0,51694
-60300,-0.20985983161693483,0.0,51697
-59400,-0.2098626452656584,0.0,51700
-58500,-0.20986357278515283,0.0,51703
-57600,-0.20987424346528682,0.0,51706
-56700,-0.20992023756828712,0.0,51709
-55800,-0.20999480431435186,0.0,51712
-54900,-0.21007044657333537,0.0,51715
-54000,-0.21008453108705497,0.0,51718
-53100,-0.21003555552684616,0.0,51721
-52200,-0.20995445933101411,0.0,51724
-51300,-0.20989575243922876,0.0,51727
-50400,-0.20981320462395395,0.0,51730
-49500,-0.20969981657223868,0.0,51733
-48600,-0.20960120485861247,0.0,51736
-47700,-0.20956484132591408,0.0,51739
-46800,-0.20956481894933834,0.0,51742
-45900,-0.2095527105619688,0.0,51745
-45000,-0.20950825378437493,0.0,51748
-44100,-0.20950557343259998,0.0,51751
-43200,-0.20951459868285774,0.0,51754
-42300,-0.2095279175390753,0.0,51757
-41400,-0.20952709111975906,0.0,51760
-40500,-0.20949010251370384,0.0,51763
-39600,-0.20946688294129778,0.0,51766
-38700,-0.20949658507787958,0.0,51769
-37800,-0.2095226608787041,0.0,51772
-36900,-0.209518850978383,0.0,51775
-36000,-0.20950821717785575,0.0,51778
-35100,-0.20949523253317365,0.0,51781
-34200,-0.20947009973676012,0.0,51784
-33300,-0.2094565161695976,0.0,51787
-32400,-0.20945455985652742,0.0,51790
-31500,-0.20943951983166206,0.0,51793
-30600,-0.20942959329260785,0.0,51796
-29700,-0.20941556483458465,0.0,51799
-28800,-0.20937372601562013,0.0,51802
-27900,-0.20929721214821412,0.0,51805
-27000,-0.2092112694853692,0.0,51808
-26100,-0.20918323872341954,0.0,51811
-25200,-0.20920526937971165,0.0,51814
-24300,-0.20923505163238956,0.0,51817
-23400,-0.20928982970768567,0.0,51820
-22500,-0.2093183092662304,0.0,51823
-21600,-0.20929755027408156,0.0,51826
-20700,-0.2092139620288168,0.0,51829
-19800,-0.20920667787760863,0.0,51832
-18900,-0.20922087663216843,0.0,51835
-18000,-0.2092456290077502,0.0,51838
-17100,-0.20925871002288904,0.0,51841
-16200,-0.2092671265604702,0.0,51844
-15300,-0.20925857121069827,0.0,51847
-14400,-0.2092379407929334,0.0,51850
-13500,-0.20926447740645152,0.0,51853
-12600,-0.20930460278289226,0.0,51856
-11700,-0.2093368172623333,0.0,51859
-10800,-0.20932694722944498,0.0,51862
-9900,-0.20928625299244882,0.0,51865
-9000,-0.20923444160843688,0.0,51868
-8100,-0.20917766982742833,0.0,51871
-7200,-0.20911640748710028,0.0,51874
-6300,-0.20906455163720888,0.0,51877
-5400,-0.20900005744099834,0.0,51880
-4500,-0.2089305079948383,0.0,51883
-3600,-0.20886843208417472,0.0,51886
-2700,-0.20878623534465846,0.0,51889
-1800,-0.20875284283997103,0.0,51892
-900,-0.20871823340963772,0.0,51895
0,-0.20862781673232958,0.0,51898
900,-0.2085091153846479,0.0,51895
1800,-0.2084272199814112,0.0,51892
2700,-0.20841495005031654,0.0,51889
3600,-0.20834106536061747,0.0,51886
4500,-0.20826649857878918,0.0,51883
5400,-0.20816358042203237,0.0,51880
6300,-0.2080289024887104,0.0,51877
7200,-0.20802457072818187,0.0,51874
8100,-0.20796090821306953,0.0,51871
9000,-0.20782495320301558,0.0,51868
9900,-0.20768378169913254,0.0,51865
10800,-0.20755561136792583,0.0,51862
11700,-0.2074828696591834,0.0,51859
12600,-0.20744018062907754,0.0,51856
13500,-0.20746144047165424,0.0,51853
14400,-0.20747195608402413,0.0,51850
15300,-0.20749661856902857,0.0,51847
16200,-0.2074672982142353,0.0,51844
17100,-0.20743687694864324,0.0,51841
18000,-0.20748152336885392,0.0,51838
18900,-0.2075728615071754,0.0,51835
19800,-0.20766463280676986,0.0,51832
20700,-0.20773647586324767,0.0,51829
21600,-0.20781337978118875,0.0,51826
22500,-0.20790911965055495,0.0,51823
23400,-0.2078126070522048,0.0,51820
24300,-0.20777983486776064,0.0,51817
25200,-0.20768545814531295,0.0,51814
26100,-0.20766252181064188,0.0,51811
27000,-0.20772600954515272,0.0,51808
27900,-0.20768210689799377,0.0,51805
28800,-0.20764969945342443,0.0,51802
29700,-0.20761231715709952,0.0,51799
30600,-0.20772575362946985,0.0,51796
31500,-0.20780053747563382,0.0,51793
32400,-0.20785565726616895,0.0,51790
33300,-0.20788701896758463,0.0,51787
34200,-0.20787139862102672,0.0,51784
35100,-0.2077786139015466,0.0,51781
36000,-0.20766384473472205,0.0,51778
36900,-0.20767234489387354,0.0,51775
37800,-0.20775231743619205,0.0,51772
38700,-0.2077705824733477,0.0,51769
39600,-0.20769086162955244,0.0,51766
40500,-0.20767007371728957,0.0,51763
41400,-0.20764392250369915,0.0,51760
42300,-0.2074385568630904,0.0,51757
43200,-0.20728660348048095,0.0,51754
44100,-0.2071511926749903,0.0,51751
45000,-0.20707045774535712,0.0,51748
45900,-0.2070253556987143,0.0,51745
46800,-0.2070362649756157,0.0,51742
47700,-0.2069885359772952,0.0,51739
48600,-0.20686414208292697,0.0,51736
49500,-0.20678200808443647,0.0,51733
50400,-0.20684111259966861,0.0,51730
51300,-0.2068751169853479,0.0,51727
52200,-0.20679632381340193,0.0,51724
53100,-0.2066937201525943,0.0,51721
54000,-0.20644192661929722,0.0,51718
54900,-0.2062501639562953,0.0,51715
55800,-0.20614026356723777,0.0,51712
56700,-0.20612540827987744,0.0,51709
57600,-0.20618957771985302,0.0,51706
58500,-0.2063039891140096,0.0,51703
59400,-0.20629022813691544,0.0,51700
60300,-0.2063010627205304,0.0,51697
61200,-0.2063053297350346,0.0,51694
62100,-0.20627265522339963,0.0,51691
63000,-0.20618527163708344,0.0,51688
63900,-0.20619616598062854,0.0,51685
64800,-0.2061199705525361,0.0,51682
65700,-0.20602995314995903,0.0,51679
66600,-0.20604238557780294,0.0,51676
67500,-0.20601344374388997,0.0,51673
68400,-0.2058898847640161,0.0,51670
69300,-0.20564196944966578,0.0,51667
70200,-0.2053844044275561,0.0,51664
71100,-0.20519807331737394,0.0,51661
72000,-0.2050164541053987,0.0,51658
72900,-0.20488852083762102,0.0,51655
73800,-0.2047248973539552,0.0,51652
74700,-0.20458415712476746,0.0,51649
75600,-0.20449999950859896,0.0,51646
76500,-0.20441502050407498,0.0,51643
77400,-0.20428717187564982,0.0,51640
78300,-0.20413283611594857,0.0,51637
79200,-0.2040225601664042,0.0,51634
80100,-0.20390072318757577,0.0,51631
81000,-0.2037517222083642,0.0,51628
81900,-0.20361021418721525,0.0,51625
82800,-0.20347515744565636,0.0,51622
83700,-0.203354494110158,0.0,51619
84600,-0.20323775980511513,0.0,51616
85500,-0.20308760491178104,0.0,51613
86400,-0.2029023131530419,0.0,51610
